date,value
2022/08/19,0
2022/08/31,0
2022/09/30,0
2022/10/31,"10,002,092"
2022/11/30,"9,723,963"
2022/12/31,"10,436,562"
2023/01/31,"10,149,162"
2023/02/28,"9,889,574"
2023/03/31,"9,602,173"
2023/04/30,"9,324,044"
2023/05/31,"9,036,643"
2023/06/30,"8,758,514"
2023/07/31,"8,471,113"
2023/08/31,"8,183,713"
2023/09/30,"7,905,583"
2023/10/31,"7,618,183"
2023/11/30,"7,340,053"
2023/12/31,"7,045,778"
2024/01/31,"6,745,655"
2024/02/29,"6,464,895"
2024/03/31,"6,164,773"
2024/04/30,"5,874,331"
2024/05/31,"5,574,208"
2024/06/30,"5,283,767"
2024/07/31,"4,983,644"
2024/08/31,"4,683,521"
2024/09/30,"4,393,080"
2024/10/31,"4,092,957"
2024/11/30,"3,802,515"
2024/12/31,"3,470,269"
2025/01/31,"3,110,694"
2025/02/28,"2,785,917"
2025/03/31,"2,426,342"
2025/04/30,"2,078,366"
2025/05/31,"1,718,791"
2025/06/30,"1,370,816"
2025/07/31,"1,011,241"
2025/08/31,"693,932"
2025/09/30,"455,227"
2025/10/31,"302,023"
2025/11/30,"232,177"
2025/12/31,"199,000"
2026/01/31,"199,000"
2026/02/28,"199,000"
2026/03/31,"199,000"
2026/04/30,"199,000"
2026/05/31,"199,000"
2026/06/30,"199,000"
2026/07/31,"199,000"
2026/08/31,"199,000"
2026/09/30,"199,000"
2026/10/31,"199,000"
2026/11/30,"199,000"
2026/12/31,"199,000"
