date,value
2022/08/19,0
2022/08/31,0
2022/09/30,0
2022/10/31,0
2022/11/30,0
2022/12/31,"228,000"
2023/01/31,"198,173"
2023/02/28,"180,682"
2023/03/31,"161,318"
2023/04/30,"142,578"
2023/05/31,"123,214"
2023/06/30,"104,474"
2023/07/31,"85,110"
2023/08/31,"65,745"
2023/09/30,"47,005"
2023/10/31,"27,641"
2023/11/30,"8,901"
2023/12/31,0
2024/01/31,0
2024/02/29,0
2024/03/31,0
2024/04/30,0
2024/05/31,0
2024/06/30,0
2024/07/31,0
2024/08/31,0
2024/09/30,0
2024/10/31,0
2024/11/30,0
2024/12/31,0
2025/01/31,0
2025/02/28,0
2025/03/31,0
2025/04/30,0
2025/05/31,0
2025/06/30,0
2025/07/31,0
2025/08/31,0
2025/09/30,0
2025/10/31,0
2025/11/30,0
2025/12/31,0
2026/01/31,0
2026/02/28,0
2026/03/31,0
2026/04/30,0
2026/05/31,0
2026/06/30,0
2026/07/31,0
2026/08/31,0
2026/09/30,0
2026/10/31,0
2026/11/30,0
2026/12/31,0
