date,value
2022/08/19,0
2022/08/31,0
2022/09/30,0
2022/10/31,0
2022/11/30,0
2022/12/31,0
2023/01/31,"270,000,000"
2023/02/28,"270,000,000"
2023/03/31,"270,000,000"
2023/04/30,"240,000,000"
2023/05/31,"240,000,000"
2023/06/30,"240,000,000"
2023/07/31,"210,000,000"
2023/08/31,"210,000,000"
2023/09/30,"180,000,000"
2023/10/31,"180,000,000"
2023/11/30,"180,000,000"
2023/12/31,"160,000,000"
2024/01/31,"160,000,000"
2024/02/29,"160,000,000"
2024/03/31,"140,000,000"
2024/04/30,"140,000,000"
2024/05/31,"140,000,000"
2024/06/30,"120,000,000"
2024/07/31,"120,000,000"
2024/08/31,"120,000,000"
2024/09/30,"100,000,000"
2024/10/31,"100,000,000"
2024/11/30,"100,000,000"
2024/12/31,"85,000,000"
2025/01/31,"85,000,000"
2025/02/28,"85,000,000"
2025/03/31,"70,000,000"
2025/04/30,"70,000,000"
2025/05/31,"70,000,000"
2025/06/30,"55,000,000"
2025/07/31,"55,000,000"
2025/08/31,"55,000,000"
2025/09/30,"40,000,000"
2025/10/31,"40,000,000"
2025/11/30,"40,000,000"
2025/12/31,"30,000,000"
2026/01/31,"30,000,000"
2026/02/28,"30,000,000"
2026/03/31,"20,000,000"
2026/04/30,"20,000,000"
2026/05/31,"20,000,000"
2026/06/30,"10,000,000"
2026/07/31,"10,000,000"
2026/08/31,"10,000,000"
2026/09/30,0
2026/10/31,0
2026/11/30,0
2026/12/31,0
