date,value
2022/08/19,0
2022/08/31,0
2022/09/30,0
2022/10/31,0
2022/11/30,0
2022/12/31,0
2023/01/31,"37,125,000"
2023/02/28,"35,000,000"
2023/03/31,"35,000,000"
2023/04/30,"32,125,000"
2023/05/31,"30,000,000"
2023/06/30,"30,000,000"
2023/07/31,"27,125,000"
2023/08/31,"25,000,000"
2023/09/30,"25,000,000"
2023/10/31,"22,125,000"
2023/11/30,"20,000,000"
2023/12/31,"20,000,000"
2024/01/31,"17,125,000"
2024/02/29,"17,875,000"
2024/03/31,"15,000,000"
2024/04/30,"12,125,000"
2024/05/31,"10,000,000"
2024/06/30,"10,000,000"
2024/07/31,"7,125,000"
2024/08/31,"5,000,000"
2024/09/30,"5,000,000"
2024/10/31,"2,125,000"
2024/11/30,0
2024/12/31,0
2025/01/31,0
2025/02/28,0
2025/03/31,0
2025/04/30,0
2025/05/31,0
2025/06/30,0
2025/07/31,0
2025/08/31,0
2025/09/30,0
2025/10/31,0
2025/11/30,0
2025/12/31,0
2026/01/31,0
2026/02/28,0
2026/03/31,0
2026/04/30,0
2026/05/31,0
2026/06/30,0
2026/07/31,0
2026/08/31,0
2026/09/30,0
2026/10/31,0
2026/11/30,0
2026/12/31,0
