date,value
2022/08/19,"747,249,890"
2022/08/31,"747,249,890"
2022/09/30,"747,249,890"
2022/10/31,"720,857,890"
2022/11/30,"750,953,364"
2022/12/31,"744,180,393"
2023/01/31,"742,680,393"
2023/02/28,"742,242,613"
2023/03/31,"742,242,613"
2023/04/30,"742,242,613"
2023/05/31,"742,242,613"
2023/06/30,"742,242,613"
2023/07/31,"742,242,613"
2023/08/31,"742,242,613"
2023/09/30,"742,242,613"
2023/10/31,"742,242,613"
2023/11/30,"742,242,613"
2023/12/31,"742,242,613"
2024/01/31,"742,242,613"
2024/02/29,"742,242,613"
2024/03/31,"742,242,613"
2024/04/30,"742,242,613"
2024/05/31,"742,242,613"
2024/06/30,"742,242,613"
2024/07/31,"742,242,613"
2024/08/31,"742,242,613"
2024/09/30,"742,242,613"
2024/10/31,"742,242,613"
2024/11/30,"742,242,613"
2024/12/31,"742,242,613"
2025/01/31,"742,242,613"
2025/02/28,"742,242,613"
2025/03/31,"742,242,613"
2025/04/30,"742,242,613"
2025/05/31,"742,242,613"
2025/06/30,"742,242,613"
2025/07/31,"742,242,613"
2025/08/31,"742,242,613"
2025/09/30,"742,242,613"
2025/10/31,"742,242,613"
2025/11/30,"742,242,613"
2025/12/31,"742,242,613"
2026/01/31,"742,242,613"
2026/02/28,"742,242,613"
2026/03/31,"742,242,613"
2026/04/30,"742,242,613"
2026/05/31,"742,242,613"
2026/06/30,"742,242,613"
2026/07/31,"742,242,613"
2026/08/31,"742,242,613"
2026/09/30,"742,242,613"
2026/10/31,"742,242,613"
2026/11/30,"742,242,613"
2026/12/31,"742,242,613"
