timestamp,price
2019-07-18,151.41
2019-07-19,170.05
2019-07-20,171.29
2019-07-21,162.15
2019-07-22,159.32
2019-07-23,156.93
2019-07-24,180.18
2019-07-25,170.16
2019-07-26,162.39
2019-07-27,157.75
2019-07-28,143.17
2019-07-29,164.05
2019-07-30,154.54
2019-07-31,161.64
2019-08-01,153.95
2019-08-02,150.52
2019-08-03,150.68
2019-08-04,154.15
2019-08-05,151.88
2019-08-06,150.91
2019-08-07,149.1
2019-08-08,149.7
2019-08-09,145.35
2019-08-10,143.98
2019-08-11,143.36
2019-08-12,145.51
2019-08-13,144.83
2019-08-14,146.52
2019-08-15,126.92
2019-08-16,131.92
2019-08-17,131.02
2019-08-18,125.08
2019-08-19,136.31
2019-08-20,142.48
2019-08-21,137.39
2019-08-22,130.67
2019-08-23,135.41
2019-08-24,142.63
2019-08-25,141.72
2019-08-26,141.01
2019-08-27,139.36
2019-08-28,129.41
2019-08-29,129.57
2019-08-30,127.69
2019-08-31,118.14
2019-09-01,122.74
2019-09-02,118.17
2019-09-03,157.72
2019-09-04,154.6
2019-09-05,151.73
2019-09-06,147.02
2019-09-07,177.5
2019-09-08,166.17
2019-09-09,164.35
2019-09-10,161.13
2019-09-11,143.21
2019-09-12,145.75
2019-09-13,154.82
2019-09-14,154.15
2019-09-15,151.71
2019-09-16,161.39
2019-09-17,147.98
2019-09-18,145.76
2019-09-19,154.21
2019-09-20,150.84
2019-09-21,151.31
2019-09-22,144.98
2019-09-23,141.57
2019-09-24,140.29
2019-09-25,133.35
2019-09-26,143.39
2019-09-27,125.6
2019-09-28,118.08
2019-09-29,115.54
2019-09-30,113.79
2019-10-01,114.67
2019-10-02,117.7
2019-10-03,121.03
2019-10-04,125.78
2019-10-05,122.76
2019-10-06,122.04
2019-10-07,122.29
2019-10-08,116.68
2019-10-09,98.23
2019-10-10,117.78
2019-10-11,117.98
2019-10-12,110.02
2019-10-13,107.28
2019-10-14,104.02
2019-10-15,105.94
2019-10-16,107.28
2019-10-17,109.83
2019-10-18,109.32
2019-10-19,109.02
2019-10-20,109.02
2019-10-21,106.34
2019-10-22,106.61
2019-10-23,105.6
2019-10-24,101.54
2019-10-25,103.66
2019-10-26,103.06
2019-10-27,101.97
2019-10-28,97.34
2019-10-29,100.88
2019-10-30,99.61
2019-10-31,100.15
2019-11-01,100.91
2019-11-02,109.69
2019-11-03,111.01
2019-11-04,113.61
2019-11-05,113.91
2019-11-06,113.16
2019-11-07,114.93
2019-11-08,116.48
2019-11-09,115.48
2019-11-10,114.82
2019-11-11,115.54
2019-11-12,115.29
2019-11-13,115.2
2019-11-14,115.37
2019-11-15,115.98
2019-11-16,115.35
2019-11-17,113.14
2019-11-18,109.62
2019-11-19,110.24
2019-11-20,106.88
2019-11-21,102.64
2019-11-22,100.0
2019-11-23,98.86
2019-11-24,90.19
2019-11-25,89.14
2019-11-26,80.46
2019-11-27,91.51
2019-11-28,77.72
2019-11-29,77.48
2019-11-30,137.87
2019-12-01,95.99
2019-12-02,90.39
2019-12-03,89.91
2019-12-04,88.75
2019-12-05,79.06
2019-12-06,79.78
2019-12-07,79.92
2019-12-08,82.13
2019-12-09,81.49
2019-12-10,81.4
2019-12-11,81.17
2019-12-12,85.0
2019-12-13,87.05
2019-12-14,88.42
2019-12-15,90.75
2019-12-16,91.27
2019-12-17,88.43
2019-12-18,91.32
2019-12-19,91.92
2019-12-20,93.26
2019-12-21,94.89
2019-12-22,96.07
2019-12-23,93.94
2019-12-24,92.27
2019-12-25,92.6
2019-12-26,94.28
2019-12-27,92.95
2019-12-28,94.03
2019-12-29,94.28
2019-12-30,94.65
2019-12-31,91.95
2020-01-01,91.01
2020-01-02,92.81
2020-01-03,94.48
2020-01-04,103.22
2020-01-05,95.04
2020-01-06,93.78
2020-01-07,123.14
2020-01-08,118.07
2020-01-09,120.72
2020-01-10,98.56
2020-01-11,102.31
2020-01-12,99.08
2020-01-13,98.22
2020-01-14,104.49
2020-01-15,98.64
2020-01-16,125.63
2020-01-17,123.48
2020-01-18,109.75
2020-01-19,111.54
2020-01-20,110.21
2020-01-21,110.29
2020-01-22,111.26
2020-01-23,110.51
2020-01-24,121.65
2020-01-25,130.19
2020-01-26,128.59
2020-01-27,129.22
2020-01-28,122.88
2020-01-29,144.92
2020-01-30,167.59
2020-01-31,178.53
2020-02-01,147.66
2020-02-02,176.82
2020-02-03,144.37
2020-02-04,144.34
2020-02-05,139.62
2020-02-06,140.25
2020-02-07,142.38
2020-02-08,141.5
2020-02-09,142.44
2020-02-10,177.9
2020-02-11,141.01
2020-02-12,174.43
2020-02-13,175.55
2020-02-14,140.72
2020-02-15,143.53
2020-02-16,146.09
2020-02-17,147.84
2020-02-18,137.2
2020-02-19,175.7
2020-02-20,136.26
2020-02-21,135.57
2020-02-22,137.99
2020-02-23,132.03
2020-02-24,138.3
2020-02-25,131.99
2020-02-26,125.39
2020-02-27,122.94
2020-02-28,123.56
2020-02-29,126.18
2020-03-01,168.09
2020-03-02,176.11
2020-03-03,173.81
2020-03-04,169.26
2020-03-05,168.63
2020-03-06,213.11
2020-03-07,292.47
2020-03-08,304.83
2020-03-09,155.3
2020-03-10,169.32
2020-03-11,164.74
2020-03-12,163.64
2020-03-13,83.97
2020-03-14,99.11
2020-03-15,112.31
2020-03-16,113.23
2020-03-17,114.65
2020-03-18,108.46
2020-03-19,109.15
2020-03-20,111.78
2020-03-21,111.89
2020-03-22,111.71
2020-03-23,133.01
2020-03-24,86.2
2020-03-25,133.83
2020-03-26,131.72
2020-03-27,131.75
2020-03-28,133.82
2020-03-29,128.47
2020-03-30,103.59
2020-03-31,105.08
2020-04-01,82.43
2020-04-02,84.45
2020-04-03,84.36
2020-04-04,117.32
2020-04-05,114.11
2020-04-06,119.02
2020-04-07,89.83
2020-04-08,90.99
2020-04-09,128.59
2020-04-10,127.35
2020-04-11,87.57
2020-04-12,126.7
2020-04-13,90.21
2020-04-14,85.22
2020-04-15,84.67
2020-04-16,85.29
2020-04-17,85.97
2020-04-18,85.11
2020-04-19,91.48
2020-04-20,93.71
2020-04-21,92.49
2020-04-22,121.25
2020-04-23,119.27
2020-04-24,91.03
2020-04-25,121.08
2020-04-26,113.6
2020-04-27,115.93
2020-04-28,80.37
2020-04-29,78.86
2020-04-30,121.92
2020-05-01,108.75
2020-05-02,101.24
2020-05-03,83.12
2020-05-04,83.25
2020-05-05,83.92
2020-05-06,123.15
2020-05-07,119.7
2020-05-08,110.7
2020-05-09,109.8
2020-05-10,105.22
2020-05-11,99.29
2020-05-12,127.99
2020-05-13,119.35
2020-05-14,105.07
2020-05-15,114.76
2020-05-16,115.1
2020-05-17,119.31
2020-05-18,122.16
2020-05-19,125.88
2020-05-20,130.71
2020-05-21,123.31
2020-05-22,126.71
2020-05-23,113.25
2020-05-24,132.33
2020-05-25,147.38
2020-05-26,146.74
2020-05-27,155.58
2020-05-28,123.81
2020-05-29,118.31
2020-05-30,138.45
2020-05-31,202.69
2020-06-01,123.11
2020-06-02,116.61
2020-06-03,103.55
2020-06-04,106.55
2020-06-05,112.42
2020-06-06,114.54
2020-06-07,148.76
2020-06-08,145.72
2020-06-09,148.4
2020-06-10,143.83
2020-06-11,134.95
2020-06-12,132.21
2020-06-13,134.38
2020-06-14,135.34
2020-06-15,148.76
2020-06-16,101.37
2020-06-17,145.31
2020-06-18,133.91
2020-06-19,135.62
2020-06-20,132.92
2020-06-21,130.81
2020-06-22,131.55
2020-06-23,111.68
2020-06-24,126.91
2020-06-25,155.8
2020-06-26,159.49
2020-06-27,142.14
2020-06-28,150.69
2020-06-29,152.21
2020-06-30,153.32
2020-07-01,139.27
2020-07-02,142.34
2020-07-03,150.49
2020-07-04,150.38
2020-07-05,150.78
2020-07-06,143.85
2020-07-07,143.03
2020-07-08,124.22
2020-07-09,128.39
2020-07-10,139.76
2020-07-11,137.76
2020-07-12,144.62
2020-07-13,150.03
2020-07-14,152.7
2020-07-15,147.89
2020-07-16,152.04
2020-07-17,146.44
2020-07-18,198.36
2020-07-19,182.72
2020-07-20,165.55
2020-07-21,158.75
2020-07-22,164.18
2020-07-23,158.48
2020-07-24,155.94
2020-07-25,157.51
2020-07-26,170.99
2020-07-27,169.41
2020-07-28,169.47
2020-07-29,171.35
2020-07-30,179.08
2020-07-31,179.45
2020-08-01,176.44
2020-08-02,180.58
2020-08-03,179.14
2020-08-04,192.84
2020-08-05,206.33
2020-08-06,226.66
2020-08-07,232.66
2020-08-08,237.37
2020-08-09,236.28
2020-08-10,297.38
2020-08-11,371.61
2020-08-12,356.05
2020-08-13,370.83
2020-08-14,365.791065214
2020-08-15,319.698620824
2020-08-16,333.589189481
2020-08-17,337.36297349
2020-08-18,326.131320721
2020-08-19,321.991461759
2020-08-20,295.236308748
2020-08-21,291.412363019
