,2022/01/31,2022/02/28,2022/03/31,2022/04/30,2022/05/31,2022/06/30,2022/07/31,2022/08/31,2022/09/30,2022/10/31,2022/11/30,2022/12/31,2023/01/31,2023/02/28,2023/03/31,2023/04/30,2023/05/31,2023/06/30,2023/07/31,2023/08/31,2023/09/30,2023/10/31,2023/11/30,2023/12/31,2024/01/31,2024/02/29,2024/03/31,2024/04/30,2024/05/31,2024/06/30,2024/07/31,2024/08/31,2024/09/30,2024/10/31,2024/11/30,2024/12/31
0x0cc5229b8084a83ebdd09debcb3f70a2f8f304d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xa7a7a59cc4b9b2ec6cd125326f03084e355180e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x2bb5e0040e4706ee25376106802da428e6b2241a,0,0,0,0,0,"92,144,951","92,144,951","92,144,951","92,144,951","92,144,951","64,544,951","64,544,951","58,690,401","52,835,856","46,981,311","41,126,766","35,272,221","29,417,676","23,563,131","17,708,586","11,854,041","5,999,496","144,951","144,951","144,951","144,951","144,951","144,951","144,951","144,951","144,951","144,951","144,951","144,951","144,951","144,951"
0xf39ecc1dcb51aa77fa09a8ce0d75d00acbb12648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0b7da3649ede697993c847c8169700bd911ebd57,"309,946,564","309,946,564","309,946,564","309,946,564","59,946,564","59,946,564","59,946,564","59,946,564","59,946,564","59,946,564","59,946,564","59,946,564","59,946,564","59,946,564","55,446,564","50,946,564","46,446,564","41,946,564","37,446,564","32,946,564","28,446,564","23,946,564","19,446,564","14,946,564","10,446,564","5,946,564","1,446,564","1,446,564","1,446,564","1,446,564","1,446,564","1,446,564","1,446,564","1,446,564","1,446,564","1,446,564"
0x3ec2d93aaff889df556cdcbef4b916e256f8f670,0,0,0,0,"1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000"
0x3c2bcee93ad378e5f12fa4170d9d8a0707831d69,"628,789,292","624,512,455","625,170,288","634,607,720","93,429,319","92,162,995","91,156,802","92,210,878","91,780,825","91,176,532","89,995,887","87,995,887","87,995,887","85,995,887","83,995,887","81,995,887","79,995,887","77,995,887","75,995,887","73,995,887","71,995,887","69,995,887","67,995,887","65,995,887","63,995,887","61,995,887","60,095,887","56,095,887","52,095,887","48,095,887","44,095,887","40,095,887","36,095,887","32,095,887","28,095,887","24,095,887"
0x757f1b9f8a9b7135606739692501311166cd3d4c,"188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","188,616,271","184,616,271","180,616,271","176,616,271","172,616,271","168,616,271","164,616,271","160,616,271","156,616,271","152,616,271"
0xfb357bd25aed9a0712e7a68f06c0daf409ab5fcc,"102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000","102,347,000"
0x6c8db4fef09fe9ab0238f13419e503c78e421492,"81,656,383","82,514,555","83,277,533","83,793,713","84,638,574","85,435,089","86,439,591","87,420,715","88,320,180","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879","88,600,879"
0x1ef38956b972dd99293355831c001fa252c120bd,"59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392","59,301,392"
0xf9b6a8f87cb714eec6ae58d217a0152e5b743491,"20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","19,000,000","18,000,000","17,000,000","16,000,000","15,000,000","14,000,000","13,000,000","12,000,000","11,000,000","10,000,000","9,000,000","8,000,000","7,000,000","6,000,000","5,000,000","4,000,000","3,000,000","2,000,000","1,000,000",0,0,0,0,0,0,0,0,0,0,0
0xd7bc6f58d159023ee85e977e1e9ed1a56b819eaf,"5,000,000","5,000,000","3,000,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000","2,100,000",0,0,0,0,0,0,0,0,0,0
