timestamp,price
2018-12-19,5.95
2018-12-20,5.04
2018-12-21,8.82
2018-12-22,7.8
2018-12-23,6.59
2018-12-24,6.83
2018-12-25,6.68
2018-12-26,5.94
2018-12-27,5.16
2018-12-28,4.87
2018-12-29,4.9
2018-12-30,5.09
2018-12-31,4.05
2019-01-01,4.81
2019-01-02,3.91
2019-01-03,3.19
2019-01-04,3.62
2019-01-05,3.3
2019-01-06,3.22
2019-01-07,3.2
2019-01-08,2.94
2019-01-09,2.97
2019-01-10,3.08
2019-01-11,2.55
2019-01-12,2.42
2019-01-13,2.45
2019-01-14,2.62
2019-01-15,2.41
2019-01-16,2.6
2019-01-17,2.38
2019-01-18,2.64
2019-01-19,2.46
2019-01-20,2.42
2019-01-21,2.16
2019-01-22,2.08
2019-01-23,2.24
2019-01-24,2.47
2019-01-25,2.0
2019-01-26,2.13
2019-01-27,2.16
2019-01-28,2.24
2019-01-29,2.0
2019-01-30,2.83
2019-01-31,2.31
2019-02-01,1.93
2019-02-02,3.35
2019-02-03,4.14
2019-02-04,4.46
2019-02-05,4.94
2019-02-06,5.12
2019-02-07,4.33
2019-02-08,4.43
2019-02-09,4.37
2019-02-10,4.76
2019-02-11,4.44
2019-02-12,4.46
2019-02-13,4.49
2019-02-14,5.07
2019-02-15,4.95
2019-02-16,5.51
2019-02-17,5.26
2019-02-18,5.56
2019-02-19,5.76
2019-02-20,5.37
2019-02-21,5.46
2019-02-22,5.77
2019-02-23,5.78
2019-02-24,5.64
2019-02-25,5.43
2019-02-26,5.63
2019-02-27,5.89
2019-02-28,5.66
2019-03-01,6.64
2019-03-02,6.22
2019-03-03,7.56
2019-03-04,7.76
2019-03-05,7.12
2019-03-06,7.12
2019-03-07,6.63
2019-03-08,6.11
2019-03-09,6.35
2019-03-10,6.6
2019-03-11,6.22
2019-03-12,6.24
2019-03-13,6.62
2019-03-14,6.93
2019-03-15,7.19
2019-03-16,7.21
2019-03-17,7.15
2019-03-18,6.96
2019-03-19,7.68
2019-03-20,8.03
2019-03-21,8.19
2019-03-22,7.23
2019-03-23,6.81
2019-03-24,7.05
2019-03-25,7.17
2019-03-26,7.05
2019-03-27,7.04
2019-03-28,7.33
2019-03-29,7.13
2019-03-30,7.21
2019-03-31,7.57
2019-04-01,7.49
2019-04-02,7.6
2019-04-03,8.26
2019-04-04,7.55
2019-04-05,7.84
2019-04-06,8.14
2019-04-07,8.44
2019-04-08,8.54
2019-04-09,8.43
2019-04-10,8.25
2019-04-11,7.92
2019-04-12,7.36
2019-04-13,7.16
2019-04-14,7.03
2019-04-15,7.29
2019-04-16,6.7
2019-04-17,7.5
2019-04-18,7.32
2019-04-19,7.45
2019-04-20,7.88
2019-04-21,7.73
2019-04-22,7.88
2019-04-23,7.52
2019-04-24,7.52
2019-04-25,6.68
2019-04-26,6.63
2019-04-27,7.11
2019-04-28,7.39
2019-04-29,7.42
2019-04-30,7.25
2019-05-01,7.54
2019-05-02,7.85
2019-05-03,7.73
2019-05-04,7.88
2019-05-05,7.72
2019-05-06,7.9
2019-05-07,8.0
2019-05-08,7.83
2019-05-09,8.46
2019-05-10,8.25
2019-05-11,8.42
2019-05-12,7.74
2019-05-13,7.55
2019-05-14,7.97
2019-05-15,7.86
2019-05-16,8.12
2019-05-17,7.3
2019-05-18,6.68
2019-05-19,6.89
2019-05-20,7.43
2019-05-21,6.69
2019-05-22,6.7
2019-05-23,6.39
2019-05-24,6.26
2019-05-25,6.35
2019-05-26,6.81
2019-05-27,6.83
2019-05-28,6.26
2019-05-29,6.07
2019-05-30,6.29
2019-05-31,5.92
2019-06-01,5.85
2019-06-02,5.89
2019-06-03,5.77
2019-06-04,5.28
2019-06-05,5.21
2019-06-06,5.49
2019-06-07,5.58
2019-06-08,5.37
2019-06-09,4.58
2019-06-10,4.81
2019-06-11,4.89
2019-06-12,4.77
2019-06-13,5.77
2019-06-14,6.04
2019-06-15,5.99
2019-06-16,5.97
2019-06-17,5.47
2019-06-18,7.43
2019-06-19,6.89
2019-06-20,6.97
2019-06-21,7.08
2019-06-22,7.32
2019-06-23,7.59
2019-06-24,7.28
2019-06-25,7.64
2019-06-26,8.47
2019-06-27,8.92
2019-06-28,7.08
2019-06-29,7.42
2019-06-30,6.71
2019-07-01,6.25
2019-07-02,5.84
2019-07-03,5.99
2019-07-04,5.62
2019-07-05,5.36
2019-07-06,5.86
2019-07-07,6.4
2019-07-08,6.25
2019-07-09,6.68
2019-07-10,6.91
2019-07-11,6.38
2019-07-12,6.0
2019-07-13,6.28
2019-07-14,6.44
2019-07-15,5.39
2019-07-16,6.1
2019-07-17,5.66
2019-07-18,5.92
2019-07-19,6.94
2019-07-20,6.92
2019-07-21,6.61
2019-07-22,6.37
2019-07-23,6.33
2019-07-24,5.99
2019-07-25,6.12
2019-07-26,6.39
2019-07-27,6.4
2019-07-28,6.37
2019-07-29,6.75
2019-07-30,7.46
2019-07-31,7.96
2019-08-01,7.26
2019-08-02,7.52
2019-08-03,7.42
2019-08-04,7.97
2019-08-05,7.79
2019-08-06,8.09
2019-08-07,6.86
2019-08-08,7.01
2019-08-09,6.86
2019-08-10,7.07
2019-08-11,6.82
2019-08-12,7.08
2019-08-13,6.76
2019-08-14,6.54
2019-08-15,6.64
2019-08-16,6.36
2019-08-17,6.39
2019-08-18,6.47
2019-08-19,6.45
2019-08-20,6.76
2019-08-21,6.49
2019-08-22,6.2
2019-08-23,6.26
2019-08-24,6.58
2019-08-25,6.29
2019-08-26,5.88
2019-08-27,6.03
2019-08-28,5.96
2019-08-29,5.73
2019-08-30,5.75
2019-08-31,5.66
2019-09-01,5.9
2019-09-02,5.8
2019-09-03,5.99
2019-09-04,5.99
2019-09-05,5.6
2019-09-06,5.52
2019-09-07,5.57
2019-09-08,5.09
2019-09-09,5.03
2019-09-10,5.31
2019-09-11,4.99
2019-09-12,5.02
2019-09-13,5.0
2019-09-14,4.93
2019-09-15,5.03
2019-09-16,4.93
2019-09-17,4.8
2019-09-18,4.74
2019-09-19,4.55
2019-09-20,4.15
2019-09-21,4.04
2019-09-22,4.09
2019-09-23,4.02
2019-09-24,4.0
2019-09-25,3.5
2019-09-26,3.75
2019-09-27,3.65
2019-09-28,3.61
2019-09-29,3.62
2019-09-30,3.28
2019-10-01,3.45
2019-10-02,3.35
2019-10-03,3.36
2019-10-04,3.39
2019-10-05,3.38
2019-10-06,3.33
2019-10-07,3.38
2019-10-08,3.37
2019-10-09,3.34
2019-10-10,3.44
2019-10-11,3.38
2019-10-12,3.1
2019-10-13,3.09
2019-10-14,2.93
2019-10-15,2.75
2019-10-16,2.67
2019-10-17,2.46
2019-10-18,2.43
2019-10-19,2.42
2019-10-20,2.31
2019-10-21,2.07
2019-10-22,2.56
2019-10-23,2.32
2019-10-24,2.03
2019-10-25,2.13
2019-10-26,2.42
2019-10-27,2.53
2019-10-28,2.73
2019-10-29,2.76
2019-10-30,2.81
2019-10-31,2.55
2019-11-01,2.27
2019-11-02,2.29
2019-11-03,2.06
2019-11-04,2.52
2019-11-05,2.65
2019-11-06,2.5
2019-11-07,2.48
2019-11-08,2.36
2019-11-09,2.22
2019-11-10,2.21
2019-11-11,2.41
2019-11-12,2.38
2019-11-13,2.36
2019-11-14,2.42
2019-11-15,2.35
2019-11-16,2.26
2019-11-17,2.29
2019-11-18,2.3
2019-11-19,2.22
2019-11-20,2.16
2019-11-21,2.2
2019-11-22,2.04
2019-11-23,1.99
2019-11-24,1.98
2019-11-25,1.85
2019-11-26,1.89
2019-11-27,1.9
2019-11-28,2.0
2019-11-29,1.98
2019-11-30,2.03
2019-12-01,1.94
2019-12-02,1.94
2019-12-03,1.76
2019-12-04,1.71
2019-12-05,1.67
2019-12-06,1.77
2019-12-07,1.66
2019-12-08,1.64
2019-12-09,1.6
2019-12-10,1.57
2019-12-11,1.42
2019-12-12,1.42
2019-12-13,1.45
2019-12-14,1.54
2019-12-15,1.45
2019-12-16,1.45
2019-12-17,1.33
2019-12-18,1.28
2019-12-19,1.26
2019-12-20,1.31
2019-12-21,1.32
2019-12-22,1.28
2019-12-23,1.28
2019-12-24,1.24
2019-12-25,1.23
2019-12-26,1.24
2019-12-27,1.29
2019-12-28,1.31
2019-12-29,1.32
2019-12-30,1.41
2019-12-31,1.32
2020-01-01,1.32
2020-01-02,1.37
2020-01-03,1.26
2020-01-04,1.33
2020-01-05,1.35
2020-01-06,1.37
2020-01-07,1.43
2020-01-08,1.47
2020-01-09,1.45
2020-01-10,1.32
2020-01-11,1.69
2020-01-12,1.29
2020-01-13,1.67
2020-01-14,1.91
2020-01-15,1.95
2020-01-16,1.95
2020-01-17,2.06
2020-01-18,2.03
2020-01-19,1.83
2020-01-20,1.83
2020-01-21,2.22
2020-01-22,2.36
2020-01-23,2.66
2020-01-24,2.14
2020-01-25,2.4
2020-01-26,2.39
2020-01-27,2.54
2020-01-28,2.48
2020-01-29,2.4
2020-01-30,2.5
2020-01-31,2.61
2020-02-01,2.42
2020-02-02,2.36
2020-02-03,2.39
2020-02-04,2.19
2020-02-05,1.75
2020-02-06,2.13
2020-02-07,1.97
2020-02-08,1.96
2020-02-09,1.99
2020-02-10,1.97
2020-02-11,2.06
2020-02-12,1.82
2020-02-13,1.79
2020-02-14,1.83
2020-02-15,1.83
2020-02-16,1.67
2020-02-17,1.66
2020-02-18,1.57
2020-02-19,1.6
2020-02-20,1.56
2020-02-21,1.49
2020-02-22,1.51
2020-02-23,1.79
2020-02-24,1.6
2020-02-25,1.63
2020-02-26,1.52
2020-02-27,1.67
2020-02-28,1.5
2020-02-29,1.35
2020-03-01,1.38
2020-03-02,1.45
2020-03-03,1.51
2020-03-04,1.43
2020-03-05,1.45
2020-03-06,1.51
2020-03-07,1.46
2020-03-08,1.52
2020-03-09,1.35
2020-03-10,1.13
2020-03-11,1.11
2020-03-12,1.07
2020-03-13,0.516602
2020-03-14,0.799304
2020-03-15,0.62442
2020-03-16,0.572805
2020-03-17,0.572973
2020-03-18,0.582572
2020-03-19,0.601272
2020-03-20,0.672623
2020-03-21,0.631938
2020-03-22,0.676907
2020-03-23,0.669709
2020-03-24,0.658531
2020-03-25,0.728607
2020-03-26,0.734463
2020-03-27,0.696114
2020-03-28,0.649682
2020-03-29,0.645582
2020-03-30,0.6087
2020-03-31,0.729519
2020-04-01,0.693848
2020-04-02,0.639029
2020-04-03,0.639254
2020-04-04,0.617297
2020-04-05,0.606221
2020-04-06,0.582706
2020-04-07,0.630606
2020-04-08,0.570532
2020-04-09,0.57754
2020-04-10,0.585418
2020-04-11,0.538006
2020-04-12,0.5369
2020-04-13,0.556631
2020-04-14,0.574958
2020-04-15,0.530472
2020-04-16,0.496184
2020-04-17,0.525705
2020-04-18,0.526164
2020-04-19,0.538799
2020-04-20,0.550352
2020-04-21,0.604763
2020-04-22,0.614935
2020-04-23,0.5662
2020-04-24,0.580492
2020-04-25,0.605688
2020-04-26,0.585085
2020-04-27,0.598697
2020-04-28,0.622586
2020-04-29,0.646993
2020-04-30,0.715898
2020-05-01,0.735052
2020-05-02,0.722712
2020-05-03,0.7446
2020-05-04,0.713427
2020-05-05,0.755112
2020-05-06,0.740227
2020-05-07,0.804371
2020-05-08,1.13
2020-05-09,1.36
2020-05-10,1.38
2020-05-11,1.43
2020-05-12,1.36
2020-05-13,1.74
2020-05-14,1.68
2020-05-15,1.93
2020-05-16,1.8
2020-05-17,1.62
2020-05-18,1.71
2020-05-19,1.96
2020-05-20,1.98
2020-05-21,1.99
2020-05-22,1.97
2020-05-23,1.89
2020-05-24,1.74
2020-05-25,1.96
2020-05-26,1.93
2020-05-27,2.27
2020-05-28,2.3
2020-05-29,2.59
2020-05-30,2.37
2020-05-31,2.51
2020-06-01,2.48
2020-06-02,2.61
2020-06-03,2.59
2020-06-04,2.75
2020-06-05,2.71
2020-06-06,2.23
2020-06-07,2.19
2020-06-08,2.03
2020-06-09,1.92
2020-06-10,1.83
2020-06-11,3.14110288523
2020-06-12,3.40973251807
2020-06-13,3.52223840394
2020-06-14,4.13976501279
2020-06-15,3.63891450117
2020-06-16,3.99791565486
2020-06-17,4.28055942945
2020-06-18,4.02790896747
2020-06-19,3.98460776011
2020-06-20,3.54757470758
2020-06-21,3.0462476425
2020-06-22,2.78443567867
2020-06-23,2.82502106594
2020-06-24,3.0631395556
2020-06-25,2.76418154476
